run_id,optimizer,learning_rate,step,task,removed_fraction,draw,shortlist_ndcg,relative_shortlist_ndcg,margin,relative_margin
pretrained,pretrained,,0,Touche2020,0.1,13,1.0,1.0,0.24685502688446034,1.002949888401447
pretrained,pretrained,,0,ArguAna,0.1,14,1.0,1.0,0.19356036338563185,1.0174246381002443
pretrained,pretrained,,0,ClimateFEVER,0.1,14,0.713473576171716,0.9915448712411521,-0.008193530268567133,4.541707537275667
pretrained,pretrained,,0,DBPedia,0.1,14,1.0,1.0,0.2525868263440494,1.007881979115334
pretrained,pretrained,,0,FEVER,0.1,14,1.0,1.0,0.3199440225341406,0.9853803743450795
pretrained,pretrained,,0,FiQA2018,0.1,14,0.9769331095982161,1.0,0.19155118077267425,0.9783535139452756
pretrained,pretrained,,0,HotpotQA,0.1,14,1.0,1.0,0.23475460492414157,0.9826841112731065
pretrained,pretrained,,0,MSMARCO,0.1,14,1.0,1.0,0.3123070316995289,0.994146095528661
pretrained,pretrained,,0,NFCorpus,0.1,14,0.6971073569752838,1.0326001091987287,0.008136431241369563,2.224777586194394
pretrained,pretrained,,0,NQ,0.1,14,1.0,1.0,0.3404530771804415,1.015122967828255
pretrained,pretrained,,0,QuoraRetrieval,0.1,14,1.0,1.0,0.44931469349674,1.0060361517132805
pretrained,pretrained,,0,SCIDOCS,0.1,14,0.8876448552512669,1.013871839588159,0.09649461572239337,0.9412452851374513
pretrained,pretrained,,0,SciFact,0.1,14,0.9769331095982161,1.0,0.25469744423975726,1.005366401768552
pretrained,pretrained,,0,TRECCOVID,0.1,14,0.8496995525297655,0.9904612717339247,0.04989818985938474,1.0550587126946618
pretrained,pretrained,,0,Touche2020,0.1,14,1.0,1.0,0.2449541085842247,0.9952266274205234
pretrained,pretrained,,0,ArguAna,0.1,15,1.0,1.0,0.18786284451630889,0.9874763781760715
pretrained,pretrained,,0,ClimateFEVER,0.1,15,0.7266292272658109,1.0098278445786935,-0.0024154556213429844,1.338896988456085
pretrained,pretrained,,0,DBPedia,0.1,15,0.96875,0.96875,0.25213493267459974,1.0060788150607913
pretrained,pretrained,,0,FEVER,0.1,15,1.0,1.0,0.32532404418168354,1.0019500470742357
pretrained,pretrained,,0,FiQA2018,0.1,15,0.9769331095982161,1.0,0.1940338651784584,0.9910339004749656
pretrained,pretrained,,0,HotpotQA,0.1,15,1.0,1.0,0.2345972494040665,0.9820254201711839
pretrained,pretrained,,0,MSMARCO,0.1,15,1.0,1.0,0.3156692566367546,1.0048488413984622
pretrained,pretrained,,0,NFCorpus,0.1,15,0.648687196571319,0.9608770633575603,0.0032490970232300033,0.8884138534717463
pretrained,pretrained,,0,NQ,0.1,15,1.0,1.0,0.3268260482355949,0.9744914946756638
pretrained,pretrained,,0,QuoraRetrieval,0.1,15,1.0,1.0,0.43853185625941277,0.9818928859002517
pretrained,pretrained,,0,SCIDOCS,0.1,15,0.864577964849483,0.987524736389307,0.10300617029760427,1.0047614719935654
pretrained,pretrained,,0,SciFact,0.1,15,1.0,1.0236115350940154,0.25229501044038316,0.9958832825657922
pretrained,pretrained,,0,TRECCOVID,0.1,15,0.8578826621279816,1.0,0.04642718322959372,0.9816669564625831
pretrained,pretrained,,0,Touche2020,0.1,15,1.0,1.0,0.2455697064657385,0.9977277465362926
pretrained,pretrained,,0,ArguAna,0.1,16,1.0,1.0,0.19444169862992772,1.0220572611036751
pretrained,pretrained,,0,ClimateFEVER,0.1,16,0.7496961176675948,1.0418848928524278,-0.0012498018020839167,0.6927702807666425
pretrained,pretrained,,0,DBPedia,0.1,16,0.96875,0.96875,0.2560337936404909,1.0216362048244418
pretrained,pretrained,,0,FEVER,0.1,16,1.0,1.0,0.32267356153799875,0.9937869516710373
pretrained,pretrained,,0,FiQA2018,0.1,16,0.9769331095982161,1.0,0.19018156042240209,0.971358136119597
pretrained,pretrained,,0,HotpotQA,0.1,16,1.0,1.0,0.24658751996773193,1.0322167609399286
pretrained,pretrained,,0,MSMARCO,0.1,16,1.0,1.0,0.3150551693314043,1.0028940583325623
pretrained,pretrained,,0,NFCorpus,0.1,16,0.6706460916771076,0.9934039865885895,0.000557832032900208,0.15253028838337934
pretrained,pretrained,,0,NQ,0.1,16,1.0,1.0,0.34017962186305173,1.014307610905486
pretrained,pretrained,,0,QuoraRetrieval,0.1,16,1.0,1.0,0.4476382897199959,1.002282606973517
pretrained,pretrained,,0,SCIDOCS,0.1,16,0.8755000588751274,1.0,0.10050775167801186,0.9803909438725312
pretrained,pretrained,,0,SciFact,0.1,16,0.9769331095982161,1.0,0.25691536163873496,1.0141211799779912
pretrained,pretrained,,0,TRECCOVID,0.1,16,0.8496941840459152,0.9904550139039355,0.050611976243245274,1.0701511748744945
pretrained,pretrained,,0,Touche2020,0.1,16,1.0,1.0,0.24864444945721279,1.0102201522169985
pretrained,pretrained,,0,ArguAna,0.1,17,1.0,1.0,0.18710923914251243,0.9835151504675985
