family,anchor,metric,condition,interpolation_lambda,effect_vs_baseline,contrast_vs_adamw_native
dense,dense/muon-lr1e-3/checkpoint-3907,positive_margin,adam-basis__muon-spectrum,1.0,0.0007149832589285714,8.719308035714255e-06
dense,dense/muon-lr1e-3/checkpoint-3907,reciprocal_rank,adamw-native,0.0,-0.008928571428571428,0.0
dense,dense/muon-lr1e-3/checkpoint-3907,reciprocal_rank,adam-basis__spectrum-lambda-0.25,0.25,-0.007068452425301075,0.001860119003270353
dense,dense/muon-lr1e-3/checkpoint-3907,reciprocal_rank,adam-basis__spectrum-lambda-0.50,0.5,-0.0002232142724096775,0.00870535715616175
dense,dense/muon-lr1e-3/checkpoint-3907,reciprocal_rank,adam-basis__spectrum-lambda-0.75,0.75,-0.004092261860413211,0.004836309568158217
dense,dense/muon-lr1e-3/checkpoint-3907,reciprocal_rank,adam-basis__muon-spectrum,1.0,-0.00037202385387250355,0.008556547574698925
dense,dense/muon-lr1e-3/checkpoint-3907,top1_accuracy,adamw-native,0.0,-0.013392857142857142,0.0
dense,dense/muon-lr1e-3/checkpoint-3907,top1_accuracy,adam-basis__spectrum-lambda-0.25,0.25,-0.013392857142857142,0.0
dense,dense/muon-lr1e-3/checkpoint-3907,top1_accuracy,adam-basis__spectrum-lambda-0.50,0.5,0.0,0.013392857142857142
dense,dense/muon-lr1e-3/checkpoint-3907,top1_accuracy,adam-basis__spectrum-lambda-0.75,0.75,-0.008928571428571428,0.004464285714285714
dense,dense/muon-lr1e-3/checkpoint-3907,top1_accuracy,adam-basis__muon-spectrum,1.0,-0.004464285714285714,0.008928571428571428
dense,dense/muon-lr1e-3/checkpoint-782,contrastive_loss,adamw-native,0.0,-0.002606982130730882,0.0
dense,dense/muon-lr1e-3/checkpoint-782,contrastive_loss,adam-basis__spectrum-lambda-0.25,0.25,0.002442902075667267,0.00504988420639815
dense,dense/muon-lr1e-3/checkpoint-782,contrastive_loss,adam-basis__spectrum-lambda-0.50,0.5,2.0649369616876356e-05,0.0026276315003477585
dense,dense/muon-lr1e-3/checkpoint-782,contrastive_loss,adam-basis__spectrum-lambda-0.75,0.75,-0.002978914923395288,-0.00037193279266440563
dense,dense/muon-lr1e-3/checkpoint-782,contrastive_loss,adam-basis__muon-spectrum,1.0,-0.0028508033357346513,-0.00024382120500376914
