family,anchor,metric,band,condition,effect_vs_baseline,contrast_vs_adamw_native
dense,dense/muon-lr1e-3/checkpoint-3907,contrastive_loss,middle,adam-basis__muon-middle-spectrum,-0.008056496694605033,-0.004784610829249557
dense,dense/muon-lr1e-3/checkpoint-3907,contrastive_loss,tail,adam-basis__muon-tail-spectrum,-0.006423168791895607,-0.003151282926540131
dense,dense/muon-lr1e-3/checkpoint-3907,positive_score,head,adam-basis__muon-head-spectrum,-0.0032784598214285715,8.719308035714038e-06
dense,dense/muon-lr1e-3/checkpoint-3907,positive_score,middle,adam-basis__muon-middle-spectrum,-0.0028860909598214285,0.000401088169642857
dense,dense/muon-lr1e-3/checkpoint-3907,positive_score,tail,adam-basis__muon-tail-spectrum,-0.00323486328125,5.231584821428553e-05
dense,dense/muon-lr1e-3/checkpoint-3907,hardest_negative_score,head,adam-basis__muon-head-spectrum,-0.003984723772321429,8.719308035714038e-06
dense,dense/muon-lr1e-3/checkpoint-3907,hardest_negative_score,middle,adam-basis__muon-middle-spectrum,-0.00372314453125,0.000270298549107143
dense,dense/muon-lr1e-3/checkpoint-3907,hardest_negative_score,tail,adam-basis__muon-tail-spectrum,-0.003941127232142857,5.231584821428596e-05
dense,dense/muon-lr1e-3/checkpoint-3907,positive_margin,head,adam-basis__muon-head-spectrum,0.0007062639508928571,0.0
dense,dense/muon-lr1e-3/checkpoint-3907,positive_margin,middle,adam-basis__muon-middle-spectrum,0.0008370535714285714,0.00013078962053571425
dense,dense/muon-lr1e-3/checkpoint-3907,positive_margin,tail,adam-basis__muon-tail-spectrum,0.0007062639508928571,0.0
dense,dense/muon-lr1e-3/checkpoint-3907,reciprocal_rank,head,adam-basis__muon-head-spectrum,-0.006175595202616283,0.002752976225955145
dense,dense/muon-lr1e-3/checkpoint-3907,reciprocal_rank,middle,adam-basis__muon-middle-spectrum,-0.0033482142857142855,0.005580357142857142
dense,dense/muon-lr1e-3/checkpoint-3907,reciprocal_rank,tail,adam-basis__muon-tail-spectrum,-0.013764880996729647,-0.004836309568158219
dense,dense/muon-lr1e-3/checkpoint-3907,top1_accuracy,head,adam-basis__muon-head-spectrum,-0.008928571428571428,0.004464285714285714
dense,dense/muon-lr1e-3/checkpoint-3907,top1_accuracy,middle,adam-basis__muon-middle-spectrum,-0.004464285714285714,0.008928571428571428
dense,dense/muon-lr1e-3/checkpoint-3907,top1_accuracy,tail,adam-basis__muon-tail-spectrum,-0.026785714285714284,-0.013392857142857142
dense,dense/muon-lr1e-3/checkpoint-782,contrastive_loss,head,adam-basis__muon-head-spectrum,-0.005010957213146737,-0.002403975082415855
dense,dense/muon-lr1e-3/checkpoint-782,contrastive_loss,middle,adam-basis__muon-middle-spectrum,-0.0023334495917879394,0.00027353253894294273
dense,dense/muon-lr1e-3/checkpoint-782,contrastive_loss,tail,adam-basis__muon-tail-spectrum,-0.00647514110395215,-0.003868158973221268
dense,dense/muon-lr1e-3/checkpoint-782,positive_score,head,adam-basis__muon-head-spectrum,-0.0013078962053571428,-0.0030517578125
dense,dense/muon-lr1e-3/checkpoint-782,positive_score,middle,adam-basis__muon-middle-spectrum,0.0011858258928571428,-0.0005580357142857145
dense,dense/muon-lr1e-3/checkpoint-782,positive_score,tail,adam-basis__muon-tail-spectrum,0.0019008091517857143,0.00015694754464285702
dense,dense/muon-lr1e-3/checkpoint-782,hardest_negative_score,head,adam-basis__muon-head-spectrum,-0.0016130719866071428,-0.003208705357142857
dense,dense/muon-lr1e-3/checkpoint-782,hardest_negative_score,middle,adam-basis__muon-middle-spectrum,0.00115966796875,-0.00043596540178571425
dense,dense/muon-lr1e-3/checkpoint-782,hardest_negative_score,tail,adam-basis__muon-tail-spectrum,0.0014561244419642857,-0.0001395089285714285
dense,dense/muon-lr1e-3/checkpoint-782,positive_margin,head,adam-basis__muon-head-spectrum,0.00030517578125,0.00015694754464285715
dense,dense/muon-lr1e-3/checkpoint-782,positive_margin,middle,adam-basis__muon-middle-spectrum,2.6157924107142856e-05,-0.00012207031249999999
dense,dense/muon-lr1e-3/checkpoint-782,positive_margin,tail,adam-basis__muon-tail-spectrum,0.00044468470982142856,0.00029645647321428575
dense,dense/muon-lr1e-3/checkpoint-782,reciprocal_rank,head,adam-basis__muon-head-spectrum,0.004092261727367129,0.0035714284250778815
dense,dense/muon-lr1e-3/checkpoint-782,reciprocal_rank,middle,adam-basis__muon-middle-spectrum,0.0021258502134255002,0.0016050169111362527
dense,dense/muon-lr1e-3/checkpoint-782,reciprocal_rank,tail,adam-basis__muon-tail-spectrum,-0.0011160715616175107,-0.0016369048639067582
dense,dense/muon-lr1e-3/checkpoint-782,top1_accuracy,head,adam-basis__muon-head-spectrum,0.004464285714285714,0.004464285714285714
dense,dense/muon-lr1e-3/checkpoint-782,top1_accuracy,middle,adam-basis__muon-middle-spectrum,0.0,0.0
dense,dense/muon-lr1e-3/checkpoint-782,top1_accuracy,tail,adam-basis__muon-tail-spectrum,-0.004464285714285714,-0.004464285714285714
dense,dense/normuon-lr1e-3/checkpoint-2345,contrastive_loss,head,adam-basis__muon-head-spectrum,-0.013977546684275564,0.011072866421792633
dense,dense/normuon-lr1e-3/checkpoint-2345,contrastive_loss,middle,adam-basis__muon-middle-spectrum,-0.020179840791570314,0.004870572314497883
dense,dense/normuon-lr1e-3/checkpoint-2345,contrastive_loss,tail,adam-basis__muon-tail-spectrum,-0.021898700825659034,0.003151712280409162
dense,dense/normuon-lr1e-3/checkpoint-2345,positive_score,head,adam-basis__muon-head-spectrum,-0.0016043526785714285,-7.847377232142851e-05
dense,dense/normuon-lr1e-3/checkpoint-2345,positive_score,middle,adam-basis__muon-middle-spectrum,-0.00128173828125,0.000244140625
dense,dense/normuon-lr1e-3/checkpoint-2345,positive_score,tail,adam-basis__muon-tail-spectrum,-0.0014474051339285715,7.847377232142851e-05
dense,dense/normuon-lr1e-3/checkpoint-2345,hardest_negative_score,head,adam-basis__muon-head-spectrum,-0.002903529575892857,0.000575474330357143
dense,dense/normuon-lr1e-3/checkpoint-2345,hardest_negative_score,middle,adam-basis__muon-middle-spectrum,-0.00311279296875,0.0003662109375
dense,dense/normuon-lr1e-3/checkpoint-2345,hardest_negative_score,tail,adam-basis__muon-tail-spectrum,-0.003391810825892857,8.719308035714298e-05
dense,dense/normuon-lr1e-3/checkpoint-2345,positive_margin,head,adam-basis__muon-head-spectrum,0.0012991768973214285,-0.0006539481026785715
dense,dense/normuon-lr1e-3/checkpoint-2345,positive_margin,middle,adam-basis__muon-middle-spectrum,0.0018310546875,-0.0001220703125
dense,dense/normuon-lr1e-3/checkpoint-2345,positive_margin,tail,adam-basis__muon-tail-spectrum,0.0019444056919642857,-8.719308035714255e-06
dense,dense/normuon-lr1e-3/checkpoint-2345,reciprocal_rank,head,adam-basis__muon-head-spectrum,0.0029761902987957,-0.005580357142857142
dense,dense/normuon-lr1e-3/checkpoint-2345,reciprocal_rank,middle,adam-basis__muon-middle-spectrum,0.004092261727367129,-0.004464285714285713
dense,dense/normuon-lr1e-3/checkpoint-2345,reciprocal_rank,tail,adam-basis__muon-tail-spectrum,0.0033482141526682036,-0.005208333288984639
dense,dense/normuon-lr1e-3/checkpoint-2345,top1_accuracy,head,adam-basis__muon-head-spectrum,0.0,-0.013392857142857142
dense,dense/normuon-lr1e-3/checkpoint-2345,top1_accuracy,middle,adam-basis__muon-middle-spectrum,0.004464285714285714,-0.008928571428571428
dense,dense/normuon-lr1e-3/checkpoint-2345,top1_accuracy,tail,adam-basis__muon-tail-spectrum,0.004464285714285714,-0.008928571428571428
dense,dense/normuon-lr1e-3/checkpoint-3907,contrastive_loss,head,adam-basis__muon-head-spectrum,-0.002831114600797134,0.0033333629414430883
dense,dense/normuon-lr1e-3/checkpoint-3907,contrastive_loss,middle,adam-basis__muon-middle-spectrum,-0.0034156672617038047,0.0027488102805364174
dense,dense/normuon-lr1e-3/checkpoint-3907,contrastive_loss,tail,adam-basis__muon-tail-spectrum,-0.0028250263650469215,0.0033394511771933006
dense,dense/normuon-lr1e-3/checkpoint-3907,positive_score,head,adam-basis__muon-head-spectrum,-0.0029732840401785715,-8.719308035714298e-05
dense,dense/normuon-lr1e-3/checkpoint-3907,positive_score,middle,adam-basis__muon-middle-spectrum,-0.0027640206473214285,0.0001220703125
dense,dense/normuon-lr1e-3/checkpoint-3907,positive_score,tail,adam-basis__muon-tail-spectrum,-0.0029209681919642855,-3.487723214285702e-05
dense,dense/normuon-lr1e-3/checkpoint-3907,hardest_negative_score,head,adam-basis__muon-head-spectrum,-0.0035574776785714285,0.0006539481026785715
dense,dense/normuon-lr1e-3/checkpoint-3907,hardest_negative_score,middle,adam-basis__muon-middle-spectrum,-0.0036708286830357145,0.0005405970982142855
dense,dense/normuon-lr1e-3/checkpoint-3907,hardest_negative_score,tail,adam-basis__muon-tail-spectrum,-0.00408935546875,0.0001220703125
dense,dense/normuon-lr1e-3/checkpoint-3907,positive_margin,head,adam-basis__muon-head-spectrum,0.0005841936383928571,-0.0007411411830357144
dense,dense/normuon-lr1e-3/checkpoint-3907,positive_margin,middle,adam-basis__muon-middle-spectrum,0.0009068080357142857,-0.00041852678571428575
dense,dense/normuon-lr1e-3/checkpoint-3907,positive_margin,tail,adam-basis__muon-tail-spectrum,0.0011683872767857143,-0.00015694754464285724
dense,dense/normuon-lr1e-3/checkpoint-3907,reciprocal_rank,head,adam-basis__muon-head-spectrum,0.002232142857142857,-0.004464285714285714
dense,dense/normuon-lr1e-3/checkpoint-3907,reciprocal_rank,middle,adam-basis__muon-middle-spectrum,0.0017113096213766507,-0.00498511895005192
dense,dense/normuon-lr1e-3/checkpoint-3907,reciprocal_rank,tail,adam-basis__muon-tail-spectrum,0.0044642857808087555,-0.0022321427906198156
dense,dense/normuon-lr1e-3/checkpoint-3907,top1_accuracy,head,adam-basis__muon-head-spectrum,0.0,-0.013392857142857142
dense,dense/normuon-lr1e-3/checkpoint-3907,top1_accuracy,middle,adam-basis__muon-middle-spectrum,0.008928571428571428,-0.004464285714285714
dense,dense/normuon-lr1e-3/checkpoint-3907,top1_accuracy,tail,adam-basis__muon-tail-spectrum,0.013392857142857142,0.0
dense,dense/normuon-lr1e-3/checkpoint-782,contrastive_loss,head,adam-basis__muon-head-spectrum,-0.009942434766604233,0.006649369408868162
dense,dense/normuon-lr1e-3/checkpoint-782,contrastive_loss,middle,adam-basis__muon-middle-spectrum,-0.018878519922379513,-0.0022867157469071177
dense,dense/normuon-lr1e-3/checkpoint-782,contrastive_loss,tail,adam-basis__muon-tail-spectrum,-0.0163645339602486,0.00022727021522379529
dense,dense/normuon-lr1e-3/checkpoint-782,positive_score,head,adam-basis__muon-head-spectrum,-0.0007847377232142857,-0.0030517578125
dense,dense/normuon-lr1e-3/checkpoint-782,positive_score,middle,adam-basis__muon-middle-spectrum,0.0019705636160714285,-0.00029645647321428596
dense,dense/normuon-lr1e-3/checkpoint-782,positive_score,tail,adam-basis__muon-tail-spectrum,0.002232142857142857,-3.487723214285745e-05
