state,learning_rate,optimizer,run_id,step,stage,baseline_margin,baseline_shortlist_ndcg,helpful_mass,degrading_mass,helpful_share,first_order_half_l1,first_order_helpful_mass,first_order_degrading_mass,direct_sum,renormalization_sum,switching_sum,fixed_negative_sum,actual_sum,first_order_sum,finite_vs_first_order_l1,finite_vs_first_order_relative_l1,switching_fraction,queries_with_any_switch_fraction,baseline_negative_tie_queries,max_coordinate_energy,switching_to_total_mass,beir_ndcg_at_10
verified-v3-adamw-3e-6/checkpoint-782,3e-06,adamw,verified-v3-adamw-3e-6,782,1,0.22994527680847662,0.9386244535057192,0.11643763817922077,0.1048083013478714,0.5257996413231097,0.11032918718835041,0.11032918718835041,0.11032918718835043,-0.22994527680847662,0.22985512049704723,-0.011539180519919952,-9.015631142941822e-05,-0.011629336831349368,-5.0337958008255565e-18,0.012240691018012716,0.05437777143962733,0.012369791666666666,0.19642857142857142,0.0,0.030075474556948572,0.051192067799563756,0.5644085714285715
verified-v3-muon-1e-3/checkpoint-1563,0.001,muon,verified-v3-muon-1e-3,1563,2,0.25136698514057537,0.9390460319686957,0.11360233844848487,0.10435792189895972,0.5210451876052558,0.1085386452095597,0.1085386452095597,0.10853864520955973,-0.25136698514057537,0.25128200253968414,-0.009159433948633836,-8.498260089131528e-05,-0.009244416549525155,1.951563910473908e-18,0.009867729903034552,0.04495415077757411,0.009980701264880954,0.16964285714285715,0.0,0.024772686279218224,0.041703267153103095,0.5876692857142858
verified-v3-muon-1e-3/checkpoint-2345,0.001,muon,verified-v3-muon-1e-3,2345,3,0.25833297151717843,0.9427319581415669,0.1130379963296959,0.10272150084796029,0.523794150069765,0.1074611269893307,0.10746112698933072,0.1074611269893307,-0.2583329715171784,0.2582448019189901,-0.010228325883547192,-8.81695981883911e-05,-0.010316495481735582,-4.7859781614002985e-18,0.010905138406956765,0.050316193578749606,0.010445731026785714,0.16517857142857142,0.0,0.02572890444501001,0.04717949472949127,0.5850171428571428
verified-v3-muon-1e-3/checkpoint-3126,0.001,muon,verified-v3-muon-1e-3,3126,4,0.2609043055298679,0.9337366063223066,0.11195858788068168,0.10719591605592481,0.510757742790002,0.10920445864772503,0.10920445864772503,0.10920445864772503,-0.26090430552986793,0.260814790646379,-0.004673156941268033,-8.951488348883336e-05,-0.004762671824756867,-8.766548994668508e-18,0.005447806601370662,0.024653700564142123,0.004353841145833334,0.09821428571428571,0.0,0.024940533063483934,0.0211081710522979,0.5885692857142857
verified-v3-muon-1e-3/checkpoint-3907,0.001,muon,verified-v3-muon-1e-3,3907,5,0.26430470890644536,0.9405203707759134,0.11310363422934284,0.10527619369423276,0.517569360398199,0.10873257617207735,0.10873257617207734,0.10873257617207735,-0.26430470890644536,0.26421733457348656,-0.007740066202151312,-8.737433295877228e-05,-0.007827440535110084,-9.912705577010326e-19,0.00845956094332275,0.03804346828412476,0.007300967261904761,0.12946428571428573,0.0,0.024630107124091253,0.03473996224508903,0.5919135714285714
verified-v3-muon-1e-3/checkpoint-782,0.001,muon,verified-v3-muon-1e-3,782,1,0.24835589744361797,0.9350727277566747,0.11196101946182832,0.1047221074602868,0.5168077458914533,0.10831849925220816,0.10831849925220817,0.10831849925220816,-0.24835589744361797,0.24828268742410117,-0.007165701982024724,-7.321001951678955e-05,-0.007238912001541512,-1.4094628242311558e-18,0.007882093889624575,0.03657899879863265,0.006824311755952382,0.14285714285714285,0.0,0.027512554817493096,0.03328083138118241,0.5818585714285714
verified-v3-muon-1e-4/checkpoint-1563,0.0001,muon,verified-v3-muon-1e-4,1563,2,0.25033190615304274,0.9467708923548798,0.11601024130104742,0.10745406412265608,0.5190560254280074,0.11176784035666688,0.11176784035666686,0.11176784035666686,-0.25033190615304274,0.2502483651984926,-0.008472636223841229,-8.35409545501327e-05,-0.00855617717839136,-6.079276467150864e-18,0.009199633900221254,0.040994983564760896,0.007992699032738096,0.16071428571428573,0.0,0.027139100964829545,0.03773783083008173,0.5879385714285714
verified-v3-muon-1e-4/checkpoint-2345,0.0001,muon,verified-v3-muon-1e-4,2345,3,0.25513190772142497,0.947080372006338,0.11565905843717565,0.1069671192192,0.5194164173852098,0.1112638327714993,0.11126383277149929,0.1112638327714993,-0.25513190772142497,0.25504582069723936,-0.008605852193790052,-8.60870241855752e-05,-0.008691939217975626,2.586596611501132e-18,0.00933612901696197,0.04173252119168632,0.008347284226190478,0.15625,0.0,0.02670047129555855,0.03844687868969716,0.58963
verified-v3-muon-1e-4/checkpoint-3126,0.0001,muon,verified-v3-muon-1e-4,3126,4,0.2564359561371789,0.9454674323631383,0.11698913051663963,0.10539574684316969,0.5262228975213457,0.11066865441770693,0.11066865441770697,0.11066865441770693,-0.2564359561371789,0.25635190256181295,-0.011509330098103999,-8.405357536596108e-05,-0.01159338367346996,6.412281420128555e-18,0.01221548336235051,0.05524167959249381,0.011166527157738096,0.16071428571428573,0.0,0.02676256994886005,0.052068668974553464,0.5903421428571428
verified-v3-muon-1e-4/checkpoint-3907,0.0001,muon,verified-v3-muon-1e-4,3907,5,0.2571266456579296,0.9455695477817754,0.11697394409607233,0.10549433040041466,0.5254359500268063,0.111149333946152,0.111149333946152,0.111149333946152,-0.2571266456579296,0.25704311253283296,-0.011396080570561077,-8.353312509658674e-05,-0.011479613695657667,-4.816955366328456e-18,0.012089194246567523,0.05361720897634564,0.011422293526785712,0.15625,0.0,0.02663202899324307,0.05049722326904423,0.5910157142857143
