family,kind,seed,optimizer,learning_rate,run_id,stage,fraction,step,label,scorer,representation_role,original_vectors,analyzed_vectors,sampled,dimension,mean_norm,norm_cv,mean_pairwise_cosine,covariance_trace,entropy_effective_rank,normalized_effective_rank,stable_rank,leading_variance_fraction
dense,checkpoint,271828,adamw,0.00015409498859627469,adamw-scale-matched,3,0.6,235,dense/seed271828/adamw-scale-matched/checkpoint-235,cosine,documents,1792,1792,False,768,1.000004529953003,0.0017273675184696913,0.07252709567546844,0.9274751543998718,159.83102416992188,0.20811331272125244,26.467937469482422,0.03778155893087387
dense,checkpoint,271828,adamw,0.00015409498859627469,adamw-scale-matched,3,0.6,235,dense/seed271828/adamw-scale-matched/checkpoint-235,cosine,queries,224,224,False,768,0.9999448657035828,0.0017857307102531195,0.07210486382246017,0.9278095364570618,150.71388244628906,0.6758470064856011,29.508575439453125,0.03388845548033714
dense,checkpoint,271828,adamw,0.00015409498859627469,adamw-scale-matched,4,0.8,313,dense/seed271828/adamw-scale-matched/checkpoint-313,cosine,documents,1792,1792,False,768,0.9998509287834167,0.001754875062033534,0.06162511929869652,0.9381047487258911,162.740966796875,0.2119023005167643,27.460540771484375,0.036415889859199524
dense,checkpoint,271828,adamw,0.00015409498859627469,adamw-scale-matched,4,0.8,313,dense/seed271828/adamw-scale-matched/checkpoint-313,cosine,queries,224,224,False,768,0.9998950958251953,0.001750522293150425,0.06613756716251373,0.9336713552474976,152.81553649902344,0.6852714641211813,31.022127151489258,0.03223505616188049
dense,checkpoint,271828,adamw,0.00015409498859627469,adamw-scale-matched,5,1.0,391,dense/seed271828/adamw-scale-matched/checkpoint-391,cosine,documents,1792,1792,False,768,0.9998989701271057,0.0017918951343744993,0.05286645516753197,0.9469476342201233,162.7091522216797,0.21186087528864542,27.244319915771484,0.0367048978805542
dense,checkpoint,271828,adamw,0.00015409498859627469,adamw-scale-matched,5,1.0,391,dense/seed271828/adamw-scale-matched/checkpoint-391,cosine,queries,224,224,False,768,1.000079870223999,0.0017260587774217129,0.06483450531959534,0.9353137612342834,152.08619689941406,0.6820008829570138,30.454999923706055,0.032835330814123154
dense,checkpoint,271828,muon,0.0018259740111827764,muon-scale-matched,1,0.2,79,dense/seed271828/muon-scale-matched/checkpoint-79,cosine,documents,1792,1792,False,768,0.9999579787254333,0.0017470582388341427,0.07626933604478836,0.9236483573913574,161.73318481445312,0.21059008439381918,24.64038848876953,0.0405837744474411
dense,checkpoint,271828,muon,0.0018259740111827764,muon-scale-matched,1,0.2,79,dense/seed271828/muon-scale-matched/checkpoint-79,cosine,queries,224,224,False,768,1.0001457929611206,0.0016977835912257433,0.07748740911483765,0.9227949976921082,151.20733642578125,0.6780598045999159,30.595714569091797,0.032684314996004105
dense,checkpoint,271828,muon,0.0018259740111827764,muon-scale-matched,2,0.4,157,dense/seed271828/muon-scale-matched/checkpoint-157,cosine,documents,1792,1792,False,768,0.9999052882194519,0.0017641341546550393,0.07927759736776352,0.9205460548400879,157.2735595703125,0.20478328069051108,23.328035354614258,0.04286687821149826
dense,checkpoint,271828,muon,0.0018259740111827764,muon-scale-matched,2,0.4,157,dense/seed271828/muon-scale-matched/checkpoint-157,cosine,queries,224,224,False,768,1.0000689029693604,0.0017772112041711807,0.08532154560089111,0.914811909198761,151.25990295410156,0.6782955289421595,31.2939510345459,0.0319550558924675
dense,checkpoint,271828,muon,0.0018259740111827764,muon-scale-matched,3,0.6,235,dense/seed271828/muon-scale-matched/checkpoint-235,cosine,documents,1792,1792,False,768,0.9999685287475586,0.0017195652471855283,0.07867196202278137,0.9212697148323059,155.10084533691406,0.20195422569910684,25.30647850036621,0.039515573531389236
dense,checkpoint,271828,muon,0.0018259740111827764,muon-scale-matched,3,0.6,235,dense/seed271828/muon-scale-matched/checkpoint-235,cosine,queries,224,224,False,768,0.9998565316200256,0.0018471290823072195,0.07597509771585464,0.9237717390060425,148.7959442138672,0.6672463866092699,28.90966796875,0.03459050506353378
dense,checkpoint,271828,muon,0.0018259740111827764,muon-scale-matched,4,0.8,313,dense/seed271828/muon-scale-matched/checkpoint-313,cosine,documents,1792,1792,False,768,1.0001453161239624,0.001726495916955173,0.06864862143993378,0.9316276907920837,156.38121032714844,0.20362136761347452,24.68996810913086,0.04050227999687195
dense,checkpoint,271828,muon,0.0018259740111827764,muon-scale-matched,4,0.8,313,dense/seed271828/muon-scale-matched/checkpoint-313,cosine,queries,224,224,False,768,0.9999170899391174,0.0018291743472218513,0.07341163605451584,0.9264384508132935,150.8898468017578,0.6766360843128153,30.023197174072266,0.033307578414678574
dense,checkpoint,271828,muon,0.0018259740111827764,muon-scale-matched,5,1.0,391,dense/seed271828/muon-scale-matched/checkpoint-391,cosine,documents,1792,1792,False,768,1.0000163316726685,0.0017091037007048726,0.05924592167139053,0.9407813549041748,157.12940979003906,0.20459558566411337,25.0037784576416,0.039993952959775925
dense,checkpoint,271828,muon,0.0018259740111827764,muon-scale-matched,5,1.0,391,dense/seed271828/muon-scale-matched/checkpoint-391,cosine,queries,224,224,False,768,1.0000275373458862,0.001796445925720036,0.07133720070123672,0.9287247657775879,150.30746459960938,0.6740245049309838,30.12436294555664,0.033195722848176956
dense,checkpoint,271828,normuon,0.0018260319582594357,normuon-scale-matched,1,0.2,79,dense/seed271828/normuon-scale-matched/checkpoint-79,cosine,documents,1792,1792,False,768,0.9999992251396179,0.0016586673445999622,0.07273899018764496,0.9272547960281372,162.671142578125,0.21181138356526694,24.720243453979492,0.04045267403125763
dense,checkpoint,271828,normuon,0.0018260319582594357,normuon-scale-matched,1,0.2,79,dense/seed271828/normuon-scale-matched/checkpoint-79,cosine,queries,224,224,False,768,0.999979555606842,0.0016366998897865415,0.07468891143798828,0.9252734780311584,151.41534423828125,0.6789925750595571,30.600479125976562,0.032679226249456406
dense,checkpoint,271828,normuon,0.0018260319582594357,normuon-scale-matched,2,0.4,157,dense/seed271828/normuon-scale-matched/checkpoint-157,cosine,documents,1792,1792,False,768,0.9998904466629028,0.00171180022880435,0.07359287142753601,0.9262025356292725,160.75694274902344,0.20931893587112427,24.97368812561035,0.04004214331507683
dense,checkpoint,271828,normuon,0.0018260319582594357,normuon-scale-matched,2,0.4,157,dense/seed271828/normuon-scale-matched/checkpoint-157,cosine,queries,224,224,False,768,0.9999300241470337,0.0017666806234046817,0.07951553165912628,0.9203600883483887,151.91290283203125,0.6812237795158352,31.62484359741211,0.03162071108818054
dense,checkpoint,271828,normuon,0.0018260319582594357,normuon-scale-matched,3,0.6,235,dense/seed271828/normuon-scale-matched/checkpoint-235,cosine,documents,1792,1792,False,768,1.0000780820846558,0.0016845031641423702,0.07255910336971283,0.9275809526443481,157.05226135253906,0.2044951319694519,26.334758758544922,0.03797262907028198
dense,checkpoint,271828,normuon,0.0018260319582594357,normuon-scale-matched,3,0.6,235,dense/seed271828/normuon-scale-matched/checkpoint-235,cosine,queries,224,224,False,768,0.9998670816421509,0.0017288436647504568,0.07515605539083481,0.9245991706848145,149.143798828125,0.668806272771861,29.036325454711914,0.03443961963057518
dense,checkpoint,271828,normuon,0.0018260319582594357,normuon-scale-matched,4,0.8,313,dense/seed271828/normuon-scale-matched/checkpoint-313,cosine,documents,1792,1792,False,768,1.00001060962677,0.0016961228102445602,0.06466659903526306,0.9353585243225098,158.192138671875,0.2059793472290039,25.903108596801758,0.038605403155088425
dense,checkpoint,271828,normuon,0.0018260319582594357,normuon-scale-matched,4,0.8,313,dense/seed271828/normuon-scale-matched/checkpoint-313,cosine,queries,224,224,False,768,0.9999300837516785,0.0017874392215162516,0.0707094818353653,0.9291595220565796,150.96922302246094,0.6769920314908562,30.256378173828125,0.03305088356137276
dense,checkpoint,271828,normuon,0.0018260319582594357,normuon-scale-matched,5,1.0,391,dense/seed271828/normuon-scale-matched/checkpoint-391,cosine,documents,1792,1792,False,768,0.9999833703041077,0.0017125738086178899,0.057420119643211365,0.9425573945045471,158.44692993164062,0.20631110668182373,25.924638748168945,0.03857334330677986
dense,checkpoint,271828,normuon,0.0018260319582594357,normuon-scale-matched,5,1.0,391,dense/seed271828/normuon-scale-matched/checkpoint-391,cosine,queries,224,224,False,768,1.000038743019104,0.0017830808646976948,0.06966883689165115,0.9304018020629883,150.466796875,0.6747389994394619,30.103391647338867,0.03321884945034981
dense,checkpoint,314159,adamw,0.00015409498859627469,adamw-scale-matched,1,0.2,79,dense/seed314159/adamw-scale-matched/checkpoint-79,cosine,documents,1792,1792,False,768,0.9999303221702576,0.0016623876290395856,0.06539637595415115,0.9344737529754639,164.1066131591797,0.21368048588434854,27.756181716918945,0.03602800890803337
dense,checkpoint,314159,adamw,0.00015409498859627469,adamw-scale-matched,1,0.2,79,dense/seed314159/adamw-scale-matched/checkpoint-79,cosine,queries,224,224,False,768,0.9999328255653381,0.0016625721473246813,0.0776219367980957,0.9222604632377625,150.66064453125,0.675608271440583,29.421167373657227,0.033989135175943375
dense,checkpoint,314159,adamw,0.00015409498859627469,adamw-scale-matched,2,0.4,157,dense/seed314159/adamw-scale-matched/checkpoint-157,cosine,documents,1792,1792,False,768,1.000052809715271,0.0017311226110905409,0.06436815857887268,0.9357308149337769,162.34095764160156,0.21138145526250204,27.531278610229492,0.036322321742773056
dense,checkpoint,314159,adamw,0.00015409498859627469,adamw-scale-matched,2,0.4,157,dense/seed314159/adamw-scale-matched/checkpoint-157,cosine,queries,224,224,False,768,0.9999104738235474,0.0016897855093702674,0.0673786997795105,0.9324590563774109,151.96774291992188,0.6814696991924748,32.00680160522461,0.031243357807397842
dense,checkpoint,314159,adamw,0.00015409498859627469,adamw-scale-matched,3,0.6,235,dense/seed314159/adamw-scale-matched/checkpoint-235,cosine,documents,1792,1792,False,768,0.9999065399169922,0.0016838177107274532,0.05684223398566246,0.9429838061332703,164.2045440673828,0.21380800008773804,26.95711326599121,0.03709596022963524
dense,checkpoint,314159,adamw,0.00015409498859627469,adamw-scale-matched,3,0.6,235,dense/seed314159/adamw-scale-matched/checkpoint-235,cosine,queries,224,224,False,768,1.0001205205917358,0.0017406990518793464,0.06368797272443771,0.9365385174751282,153.08502197265625,0.6864799191598935,31.557004928588867,0.03168868646025658
dense,checkpoint,314159,adamw,0.00015409498859627469,adamw-scale-matched,4,0.8,313,dense/seed314159/adamw-scale-matched/checkpoint-313,cosine,documents,1792,1792,False,768,1.0001853704452515,0.0016259456751868129,0.052987225353717804,0.9473665952682495,163.2285614013672,0.21253718932469687,26.315237045288086,0.03800079971551895
dense,checkpoint,314159,adamw,0.00015409498859627469,adamw-scale-matched,4,0.8,313,dense/seed314159/adamw-scale-matched/checkpoint-313,cosine,queries,224,224,False,768,0.9998190999031067,0.0017313369316980243,0.06730176508426666,0.9323619604110718,153.0926055908203,0.6865139264162345,31.16041374206543,0.03209200128912926
dense,checkpoint,314159,adamw,0.00015409498859627469,adamw-scale-matched,5,1.0,391,dense/seed314159/adamw-scale-matched/checkpoint-391,cosine,documents,1792,1792,False,768,1.000044584274292,0.0016802391037344933,0.051474668085575104,0.9486117959022522,163.02157592773438,0.21226767698923746,26.274438858032227,0.03805980458855629
dense,checkpoint,314159,adamw,0.00015409498859627469,adamw-scale-matched,5,1.0,391,dense/seed314159/adamw-scale-matched/checkpoint-391,cosine,queries,224,224,False,768,0.9996622800827026,0.0017100427066907287,0.06517031788825989,0.9342029690742493,152.99774169921875,0.6860885277991872,31.136384963989258,0.03211676701903343
dense,checkpoint,314159,muon,0.0018259740111827764,muon-scale-matched,1,0.2,79,dense/seed314159/muon-scale-matched/checkpoint-79,cosine,documents,1792,1792,False,768,1.0001202821731567,0.0018115061102434993,0.06628385186195374,0.9339406490325928,163.32565307617188,0.21266361077626547,26.764434814453125,0.03736301511526108
dense,checkpoint,314159,muon,0.0018259740111827764,muon-scale-matched,1,0.2,79,dense/seed314159/muon-scale-matched/checkpoint-79,cosine,queries,224,224,False,768,1.0001332759857178,0.0017656246200203896,0.07713153213262558,0.9231216907501221,151.05714416503906,0.677386296704211,29.28240966796875,0.03415019437670708
dense,checkpoint,314159,muon,0.0018259740111827764,muon-scale-matched,2,0.4,157,dense/seed314159/muon-scale-matched/checkpoint-157,cosine,documents,1792,1792,False,768,1.0000754594802856,0.001762044383212924,0.07380082458257675,0.9263360500335693,156.64413452148438,0.20396371682484946,24.201974868774414,0.04131894186139107
dense,checkpoint,314159,muon,0.0018259740111827764,muon-scale-matched,2,0.4,157,dense/seed314159/muon-scale-matched/checkpoint-157,cosine,queries,224,224,False,768,0.9997788667678833,0.0017382943769916892,0.07652881741523743,0.9230760335922241,150.1555938720703,0.6733434702783422,30.952116012573242,0.03230796754360199
dense,checkpoint,314159,muon,0.0018259740111827764,muon-scale-matched,3,0.6,235,dense/seed314159/muon-scale-matched/checkpoint-235,cosine,documents,1792,1792,False,768,0.999966561794281,0.0017392508452758193,0.07050216943025589,0.929446816444397,159.49847412109375,0.20768030484517416,24.809814453125,0.04030662775039673
dense,checkpoint,314159,muon,0.0018259740111827764,muon-scale-matched,3,0.6,235,dense/seed314159/muon-scale-matched/checkpoint-235,cosine,queries,224,224,False,768,0.999954879283905,0.0017769437981769443,0.06972870975732803,0.9301885962486267,151.30419921875,0.6784941669002242,30.95264434814453,0.03230741620063782
dense,checkpoint,314159,muon,0.0018259740111827764,muon-scale-matched,4,0.8,313,dense/seed314159/muon-scale-matched/checkpoint-313,cosine,documents,1792,1792,False,768,0.999994158744812,0.0017200277652591467,0.0637771263718605,0.9362183213233948,158.78561401367188,0.2067521015803019,25.261165618896484,0.03958645462989807
dense,checkpoint,314159,muon,0.0018259740111827764,muon-scale-matched,4,0.8,313,dense/seed314159/muon-scale-matched/checkpoint-313,cosine,queries,224,224,False,768,0.999980092048645,0.0017306192312389612,0.07337213307619095,0.9265962839126587,151.67303466796875,0.6801481375245235,30.433048248291016,0.032859016209840775
dense,checkpoint,314159,muon,0.0018259740111827764,muon-scale-matched,5,1.0,391,dense/seed314159/muon-scale-matched/checkpoint-391,cosine,documents,1792,1792,False,768,1.000037670135498,0.001734906225465238,0.05889473855495453,0.9411759376525879,158.7760009765625,0.20673958460489908,25.06270408630371,0.03989992290735245
dense,checkpoint,314159,muon,0.0018259740111827764,muon-scale-matched,5,1.0,391,dense/seed314159/muon-scale-matched/checkpoint-391,cosine,queries,224,224,False,768,0.9998964667320251,0.0017049273010343313,0.07133229821920395,0.9284778833389282,151.7434844970703,0.6804640560406741,30.806934356689453,0.03246022388339043
dense,checkpoint,314159,normuon,0.0018260319582594357,normuon-scale-matched,1,0.2,79,dense/seed314159/normuon-scale-matched/checkpoint-79,cosine,documents,1792,1792,False,768,1.0001909732818604,0.0017860926454886794,0.06113384664058685,0.9392255544662476,165.2930450439453,0.21522531906763712,28.029949188232422,0.035676125437021255
dense,checkpoint,314159,normuon,0.0018260319582594357,normuon-scale-matched,1,0.2,79,dense/seed314159/normuon-scale-matched/checkpoint-79,cosine,queries,224,224,False,768,0.9999464750289917,0.0018553086556494236,0.07637004554271698,0.9235372543334961,150.802734375,0.6762454456278026,29.106050491333008,0.03435711935162544
dense,checkpoint,314159,normuon,0.0018260319582594357,normuon-scale-matched,2,0.4,157,dense/seed314159/normuon-scale-matched/checkpoint-157,cosine,documents,1792,1792,False,768,1.0001832246780396,0.001696419552899897,0.06674094498157501,0.9335916638374329,158.96371459960938,0.20698400338490805,25.773941040039062,0.038798876106739044
dense,checkpoint,314159,normuon,0.0018260319582594357,normuon-scale-matched,2,0.4,157,dense/seed314159/normuon-scale-matched/checkpoint-157,cosine,queries,224,224,False,768,0.9997312426567078,0.0016693300567567348,0.07519238442182541,0.9243137240409851,149.9019775390625,0.672206177305213,30.85968780517578,0.032404735684394836
dense,checkpoint,314159,normuon,0.0018260319582594357,normuon-scale-matched,3,0.6,235,dense/seed314159/normuon-scale-matched/checkpoint-235,cosine,documents,1792,1792,False,768,0.9999528527259827,0.0017433124594390392,0.06433896720409393,0.9355714321136475,160.0835723876953,0.20844215154647827,25.040306091308594,0.03993561491370201
