model_family,optimizer,learning_rate,run_id,stage,fraction,checkpoint_step,observed_step,window_start_step,window_observations,mean_loss,loss_standard_deviation,median_grad_norm,end_learning_rate,end_epoch
late,adamw,3e-05,adamw-lr3e-5,2,0.4,1563,1560,1470,10,0.26544461011886594,0.016201810339196227,0.6303118169307709,2.0034129692832765e-05,0.39936
late,adamw,3e-05,adamw-lr3e-5,3,0.6,2345,2340,2250,10,0.23813414812088013,0.015265244781985826,0.5580018758773804,1.3378839590443686e-05,0.59904
late,adamw,3e-05,adamw-lr3e-5,4,0.8,3126,3120,3030,10,0.21284051656723024,0.02259448487092921,0.5683286786079407,6.723549488054607e-06,0.79872
late,adamw,3e-05,adamw-lr3e-5,5,1.0,3907,3900,3810,10,0.22429708480834962,0.022278476861625828,0.5392686128616333,6.8259385665529e-08,0.9984
late,normuon,0.0001,normuon-lr1e-4,1,0.2,782,780,690,10,0.40167673587799074,0.024563804484909416,0.6998575627803802,8.896473265073949e-05,0.19968
late,normuon,0.0001,normuon-lr1e-4,2,0.4,1563,1560,1470,10,0.3134143924713135,0.017485921810755495,0.6437417566776276,6.678043230944255e-05,0.39936
late,normuon,0.0001,normuon-lr1e-4,3,0.6,2345,2340,2250,10,0.28628977060317995,0.01578335423462146,0.5990833342075348,4.4596131968145624e-05,0.59904
late,normuon,0.0001,normuon-lr1e-4,4,0.8,3126,3120,3030,10,0.26114357471466065,0.026863760462703758,0.6076379716396332,2.2411831626848694e-05,0.79872
late,normuon,0.0001,normuon-lr1e-4,5,1.0,3907,3900,3810,10,0.27773293256759646,0.02331764977718846,0.6143283545970917,2.2753128555176338e-07,0.9984
late,normuon,0.0003,normuon-lr3e-4,1,0.2,782,780,690,10,0.31053001642227174,0.02114355855705327,0.6149447858333588,0.0002668941979522184,0.19968
late,normuon,0.0003,normuon-lr3e-4,2,0.4,1563,1560,1470,10,0.25327571868896487,0.014344819024738591,0.649358332157135,0.00020034129692832764,0.39936
late,normuon,0.0003,normuon-lr3e-4,3,0.6,2345,2340,2250,10,0.22990782260894774,0.01693081927186055,0.576644629240036,0.00013378839590443684,0.59904
late,normuon,0.0003,normuon-lr3e-4,4,0.8,3126,3120,3030,10,0.20452921867370605,0.02231840281240823,0.5545696914196014,6.723549488054606e-05,0.79872
late,normuon,0.0003,normuon-lr3e-4,5,1.0,3907,3900,3810,10,0.2165149736404419,0.02046057855238563,0.535101592540741,6.8259385665529e-07,0.9984
late,normuon,0.001,normuon-lr1e-3,1,0.2,782,780,690,10,0.29362131834030153,0.01754064152656831,0.4989289343357086,0.0008896473265073947,0.19968
late,normuon,0.001,normuon-lr1e-3,2,0.4,1563,1560,1470,10,0.2519487643241882,0.018725169349561425,0.5606552958488464,0.0006678043230944255,0.39936
late,normuon,0.001,normuon-lr1e-3,3,0.6,2345,2340,2250,10,0.22335500478744508,0.01424351784362159,0.4915814697742462,0.0004459613196814562,0.59904
late,normuon,0.001,normuon-lr1e-3,4,0.8,3126,3120,3030,10,0.1878281593322754,0.015401279420367477,0.48360662162303925,0.00022411831626848692,0.79872
late,normuon,0.001,normuon-lr1e-3,5,1.0,3907,3900,3810,10,0.1965446138381958,0.017882900391802792,0.44025661051273346,2.2753128555176335e-06,0.9984
late,normuon,0.003,normuon-lr3e-3,1,0.2,782,780,690,10,0.41237741470336914,0.02075892091514826,0.4993787705898285,0.0026689419795221845,0.19968
late,normuon,0.003,normuon-lr3e-3,2,0.4,1563,1560,1470,10,0.36420670986175535,0.01671867798684595,0.4756249636411667,0.0020034129692832765,0.39936
late,normuon,0.003,normuon-lr3e-3,3,0.6,2345,2340,2250,10,0.3136364793777466,0.01709397028719529,0.41320207715034485,0.0013378839590443687,0.59904
late,normuon,0.003,normuon-lr3e-3,4,0.8,3126,3120,3030,10,0.2588917112350464,0.01832480009994825,0.4515291601419449,0.0006723549488054607,0.79872
late,normuon,0.003,normuon-lr3e-3,5,1.0,3907,3900,3810,10,0.24898350954055787,0.026897938065460234,0.38806742429733276,6.8259385665529e-06,0.9984
