baseline,conditioned_on_displacement,feature,fold,status,baseline_mse_exact,feature_mse_exact,baseline_rmse,feature_rmse,improves,training_residual_energy_exact,train_rows,test_rows
B0_original,False,saved_segment_sketch_effective_rank_fraction,3,resolved,5196025943548907531014009450216976700143970544982390085221230309959181611685297825111/16260009565593641023423055716249950912138979817025120267542202709151485911820999034142720,492753685683224291141509144090280314437187483222482012145584473920075289258734246185738034445557523809566436242874676346183120897418776150121731457/1261707243143034883755236067474822100684934490644514661936443346092279389037201998618646445637768611632899422047562369240738311193601879149868639846400,0.017876202144836942,0.01976221603509038,False,19398808426308562877395452953820574411595317675223090595379/82183597676022000513789755245191338129499742528868836851056640,45,15
B0_original,False,saved_segment_sketch_effective_rank_fraction,4,resolved,88360302378788955681063222091998206205873834571821652176982737391256695758390313891159/47272769910650044286667739366411107392383332240500647444824668098496869939611981525811200,5940145733480035400714946665262460317644799055392349006270297384153819344244524294328046035385150509970690563229772480862147183563062026519498584989/4490484537204623864926561862394793928827327273718648021465003095432489843981697260662933662345894974787125834769099897266064913359799702479042720563200,0.043233766395369064,0.03637072409093931,True,18850201406172306091393083677023979569995705254791722082039/108544019760016173621600140006328376008730441819121078910320640,45,15
B0_original,False,saved_segment_row_norm_cv,1,resolved,9845807269147193278121897479789258526094283204235252913219129033065805519704871819529/9454553982130008857333547873282221478476666448100129488964933619699373987922396305162240,4070735887857119639199154526146847171251503516911018412223033126364866097255831181200518087871736548404807562840747429606322181473981009637086147738380221/9064929635123945551772628332813355798694678952753356640784827423303269924513689639617974642549561715117140059647925836058302979755455192180578381664459161600,0.03227045896603462,0.02119113627473093,True,29712550031076368199463716799624337589234825439494005265151519/868352158080129388972801120050627008069843534552968631282565120,45,15
B0_original,False,saved_segment_row_norm_cv,2,resolved,11896003488244700534325264717820502162128122080766456214916688215202921205181928792563/81300047827968205117115278581249754560694899085125601337711013545757429559104995170713600,20971168421692483803616409338176284880724156653903417131882628852229507358338792855882170467721275363535709145758102741525852928484715597197759162439020263/233568750723970373934370192855814355087345112513219125515808590377558175227143229558260409070229809131933486414567786679859028728867401665649336931733701918720,0.012096372185435933,0.009475539473123414,True,84312135046078898290404694614502661051099331210875403023581279/1314937562816352008220636083923061410071995880461901389616906240,45,15
B0_original,False,saved_segment_row_norm_cv,3,resolved,5196025943548907531014009450216976700143970544982390085221230309959181611685297825111/16260009565593641023423055716249950912138979817025120267542202709151485911820999034142720,20291931805758339077270951903034418290258558256999164362768737360544783684601680582729208791971212768191201704757089065055695587902760341143296510225826727/51211161418725666047159827163912665650811303237383430151786769793906075597774594814193836244433276943841955202034116811900532798995644298489132622275957227520,0.017876202144836942,0.019905788456472763,False,4934862357222726733730346477263553506197105621923907714381727/82183597676022000513789755245191338129499742528868836851056640,45,15
B0_original,False,saved_segment_row_norm_cv,4,resolved,88360302378788955681063222091998206205873834571821652176982737391256695758390313891159/47272769910650044286667739366411107392383332240500647444824668098496869939611981525811200,387346914684219547259846632019794671118808774389531710802598026227619781479808949881730937567845945848894308787138844023175603208267679179970137027339519477/292667748372731346996988927827167382904097081702699900589642605471650429571301324814237125023230857650528122222089275680785007468923063934616049847617611366400,0.043233766395369064,0.03637999351827182,True,84414129227760893252586913486119031994516356618274802776394131/1736704316160258777945602240101254016139687069105937262565130240,45,15
B0_original,False,saved_segment_top_1pct_row_energy,1,resolved,9845807269147193278121897479789258526094283204235252913219129033065805519704871819529/9454553982130008857333547873282221478476666448100129488964933619699373987922396305162240,9286736472410896012908791738985392141217767704450599123499048246783956718346179342242714663242211228255490350925640509774803205339951739956638916160142289/19206115530018411823014771898288909362234695931040260831724287760946208687507015687793521339395804768424087038150487326275825778033820602944416801661491609600,0.03227045896603462,0.021989319648374268,True,2703071248733195505633214845720854286568033712679074041430431/3473408632320517555891204480202508032279374138211874525130260480,45,15
B0_original,False,saved_segment_top_1pct_row_energy,2,resolved,11896003488244700534325264717820502162128122080766456214916688215202921205181928792563/81300047827968205117115278581249754560694899085125601337711013545757429559104995170713600,13694049486961102092827344119539238588610662025204039255900279407613079009483028642624932678870627468594356556096568013573929831831065806144408246498707313/148543563492386709894258937376156352835916793137665902938349816693972017226866616493156914983188452917126576378437130668265941462680451027900783465860798873600,0.012096372185435933,0.009601498698204215,True,30069391193352773641143204102874437826976751182053619066962129/21039001005061632131530177342768982561151934087390422233870499840,45,15
B0_original,False,saved_segment_top_1pct_row_energy,3,resolved,5196025943548907531014009450216976700143970544982390085221230309959181611685297825111/16260009565593641023423055716249950912138979817025120267542202709151485911820999034142720,12937598748879700161336615126928166941543795002218493421289467695685386545747285900523468594154970839250843048657056336077434335366103163270839289960571297/33101078740942871757826874101393592553806509128289366985646355331053216720439485571222920094317914337687412978372219936260533146210458988001073243839528960000,0.017876202144836942,0.019769958840528117,False,1419445720247637771512720100711815329360310278845539012441801/1051950050253081606576508867138449128057596704369521111693524992,45,15
B0_original,False,saved_segment_top_1pct_row_energy,4,resolved,88360302378788955681063222091998206205873834571821652176982737391256695758390313891159/47272769910650044286667739366411107392383332240500647444824668098496869939611981525811200,68074745850743334629238484625044487198156143026835058945745290912815974365267514792022625880706931790131304915851278444038476711199047514622192420954149211/49719921146469803933381918808454761392192745945213185735375656466911242870070441881101093232064962327119010646588390925687686933710023878484714728161332428800,0.043233766395369064,0.03700222151312628,True,30131694739095486928182470405521709353955836733174459019321547/27787269058564140447129635841620064258234993105694996201042083840,45,15
