family,anchor_kind,source_optimizer,learning_rate,run_id,stage,fraction,step,label,update_operator,tensor,rows,columns,rank,frobenius_norm,spectral_norm,stable_rank,nuclear_norm,entropy_effective_rank,condition_number
dense,checkpoint,muon,0.001,muon-lr1e-3,3,0.6,2345,dense/muon-lr1e-3/checkpoint-2345,adamw,0.layers.0.attn.Wqkv.weight,2304,768,768,80.7385025024414,18.27682113647461,19.514617919921875,1586.86181640625,549.9512939453125,59.12697982788086
dense,checkpoint,muon,0.001,muon-lr1e-3,3,0.6,2345,dense/muon-lr1e-3/checkpoint-2345,adamw,0.layers.0.mlp.Wi.weight,2304,768,768,151.1453094482422,38.35163116455078,15.531794548034668,2925.8408203125,548.4290161132812,38.92264938354492
dense,checkpoint,muon,0.001,muon-lr1e-3,3,0.6,2345,dense/muon-lr1e-3/checkpoint-2345,adamw,0.layers.10.attn.Wqkv.weight,2304,768,768,149.57919311523438,40.01200866699219,13.975316047668457,2899.130615234375,551.871337890625,41.179161071777344
dense,checkpoint,muon,0.001,muon-lr1e-3,3,0.6,2345,dense/muon-lr1e-3/checkpoint-2345,adamw,0.layers.10.mlp.Wi.weight,2304,768,768,153.87416076660156,38.65971374511719,15.842148780822754,3090.7421875,568.5,59.77247619628906
dense,checkpoint,muon,0.001,muon-lr1e-3,3,0.6,2345,dense/muon-lr1e-3/checkpoint-2345,adamw,0.layers.21.attn.Wqkv.weight,2304,768,768,134.41603088378906,43.683074951171875,9.46838092803955,2170.895751953125,466.3798522949219,75.69243621826172
dense,checkpoint,muon,0.001,muon-lr1e-3,3,0.6,2345,dense/muon-lr1e-3/checkpoint-2345,adamw,0.layers.21.mlp.Wi.weight,2304,768,768,151.0552520751953,66.43605041503906,5.169683933258057,1873.5306396484375,387.45416259765625,261.6622314453125
dense,checkpoint,muon,0.001,muon-lr1e-3,3,0.6,2345,dense/muon-lr1e-3/checkpoint-2345,muon,0.layers.0.attn.Wqkv.weight,2304,768,768,80.74139404296875,3.998899221420288,407.6726379394531,2139.197021484375,728.5608520507812,14.51956844329834
dense,checkpoint,muon,0.001,muon-lr1e-3,3,0.6,2345,dense/muon-lr1e-3/checkpoint-2345,muon,0.layers.0.mlp.Wi.weight,2304,768,768,151.154296875,7.09520959854126,453.84814453125,4092.16357421875,749.0443725585938,22.221223831176758
dense,checkpoint,muon,0.001,muon-lr1e-3,3,0.6,2345,dense/muon-lr1e-3/checkpoint-2345,muon,0.layers.10.attn.Wqkv.weight,2304,768,768,149.5867919921875,7.179111003875732,434.1553649902344,4021.521484375,742.9310913085938,11.545086860656738
dense,checkpoint,muon,0.001,muon-lr1e-3,3,0.6,2345,dense/muon-lr1e-3/checkpoint-2345,muon,0.layers.10.mlp.Wi.weight,2304,768,768,153.87872314453125,7.144266605377197,463.9186706542969,4178.404296875,751.72509765625,12.800797462463379
dense,checkpoint,muon,0.001,muon-lr1e-3,3,0.6,2345,dense/muon-lr1e-3/checkpoint-2345,muon,0.layers.21.attn.Wqkv.weight,2304,768,768,134.42262268066406,8.18848991394043,269.486572265625,3209.619140625,633.2675170898438,16.395692825317383
dense,checkpoint,muon,0.001,muon-lr1e-3,3,0.6,2345,dense/muon-lr1e-3/checkpoint-2345,muon,0.layers.21.mlp.Wi.weight,2304,768,768,151.05926513671875,21.238391876220703,50.58846664428711,2025.2803955078125,289.21917724609375,115.50086212158203
dense,checkpoint,muon,0.001,muon-lr1e-3,3,0.6,2345,dense/muon-lr1e-3/checkpoint-2345,normuon,0.layers.0.attn.Wqkv.weight,2304,768,768,80.74124908447266,4.535130977630615,316.9649963378906,2124.579345703125,723.8607177734375,15.967782020568848
