family,anchor_kind,source_optimizer,learning_rate,run_id,stage,fraction,step,label,update_operator,tensors,parameters,weight_frobenius_norm,direction_frobenius_norm,global_per_unit_lr_update_to_weight,row_norm_cv_parameter_weighted,row_norm_gini_parameter_weighted,row_norm_max_to_median_parameter_weighted,column_norm_cv_parameter_weighted,column_norm_gini_parameter_weighted,column_norm_max_to_median_parameter_weighted,top_1pct_row_energy_parameter_weighted,top_10pct_row_energy_parameter_weighted,spectral_norm_parameter_weighted,approx_stable_rank_parameter_weighted,sketched_nuclear_norm_parameter_weighted,sketched_entropy_effective_rank_parameter_weighted,captured_frobenius_energy_parameter_weighted,cosine_with_final_gradient_parameter_weighted,cosine_with_weight_parameter_weighted,per_unit_lr_update_to_weight_parameter_weighted
late,pretrained,,,pretrained,0,0.0,0,late/pretrained,muon,88,110297088,1158.5445461291922,322.1020149144158,0.2780229866780603,0.18687131009089517,0.10526605789412431,1.5529392141709353,0.052919518511324,0.027925986864873444,1.1544973155393958,0.021979723347321074,0.16975682782616844,1.7822967369288685,426.1202104741877,109.1953619074694,63.971928601596446,0.14570363330092023,0.20589382452442045,-0.0004040340787799902,0.286771485432584
late,pretrained,,,pretrained,0,0.0,0,late/pretrained,normuon,88,110297088,1158.5445461291922,322.0922971687728,0.278014598786826,0.04172709156923434,0.022487513015358167,1.2936162801987348,0.054456874170405345,0.028805154336603765,1.1413712562086749,0.014119407179501445,0.11772317156434696,2.1195257631215183,323.2727101167893,118.54818399194727,63.88722213704318,0.16798755960827844,0.19387741004400713,-0.00039121884064004014,0.28677148786298734
late,checkpoint,adamw,1e-05,adamw-lr1e-5,1,0.2,782,late/adamw-lr1e-5/checkpoint-782,adamw,88,110297088,1158.477674063596,3868.959635223105,3.339692876127636,0.0653619610799108,0.03650138730305574,1.2931950156063956,0.040530548336352896,0.022726654689744715,1.147233291424532,0.014997705637930549,0.12581476911822742,114.55489479921718,15.22170885361452,2734.6636701777657,58.92563321118686,0.7221253345356905,0.34785365946790114,0.0001847278197414305,3.4572102405170706
late,checkpoint,adamw,1e-05,adamw-lr1e-5,1,0.2,782,late/adamw-lr1e-5/checkpoint-782,muon,88,110297088,1158.477674063596,323.3838525135762,0.2791455198089762,0.19385257176058815,0.1092872209848431,1.5802878345397704,0.053918015445896326,0.02847370452516275,1.1498847383866335,0.0222293420390968,0.17192244599448805,1.782990389329227,428.9712252081397,109.2791335365989,63.97275490174319,0.14527849845070254,0.19530155378229477,-0.0005877690887084883,0.28795487059150787
late,checkpoint,adamw,1e-05,adamw-lr1e-5,1,0.2,782,late/adamw-lr1e-5/checkpoint-782,normuon,88,110297088,1158.477674063596,323.3742118290557,0.2791371979528573,0.04008937479410181,0.021467259778041852,1.2743071913719177,0.05545591276617133,0.029361399530613973,1.136565394261304,0.0139872549141553,0.1169888072791584,2.139540672302246,321.7776440299131,119.08773395721926,63.884607366062106,0.16873050943256063,0.1834296761827673,-0.0005048667389442235,0.2879548688384301
late,checkpoint,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,late/adamw-lr1e-5/checkpoint-2345,adamw,88,110297088,1158.3333543152469,4017.04939167737,3.4679562465436073,0.06573624280903907,0.03677483827209741,1.2656922184209773,0.04027353443285042,0.02260131449508975,1.135502904175437,0.014782223200554995,0.12514526221682043,129.98727955537683,12.652605101386493,2838.7796193495155,57.90972238428452,0.7466865867216956,0.3897875397600592,4.841766841469935e-05,3.5901172205726093
late,checkpoint,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,late/adamw-lr1e-5/checkpoint-2345,muon,88,110297088,1158.3333543152469,310.6813507796524,0.26821411092259606,0.20880919890627664,0.11782116325430546,1.6452480519519133,0.06286884745194472,0.0336869500814816,1.1894935385428649,0.023681463698612498,0.1794309649158289,1.7847838506979101,395.5316226979628,109.18099689993629,63.968621004074016,0.15790629996494812,0.2037129842820652,-0.0008987002528006744,0.2765435167653038
late,checkpoint,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,late/adamw-lr1e-5/checkpoint-2345,normuon,88,110297088,1158.3333543152469,310.67350291182066,0.2682073357850223,0.04547841042867876,0.024241939856897935,1.3032644196627612,0.06366751100967594,0.034227780161844856,1.1693684417296222,0.01457837612970787,0.11940831856373797,2.141258045951313,297.1078422872778,118.44970517489999,63.87367755461504,0.18220061274932667,0.19046214298609107,-0.0008742823473558068,0.2765435143349005
late,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,late/adamw-lr1e-5/checkpoint-3907,adamw,88,110297088,1158.3201615370792,3996.180482965149,3.449979216162704,0.06871676525688745,0.03853124342373159,1.2662151940366164,0.04220100406577243,0.023725560581079944,1.1390349689651937,0.014882149991584335,0.12615599598795335,133.7137379773798,11.888378068087572,2812.890121051972,57.52280193471653,0.751913841236084,0.40680613739286514,0.00020620562033648392,3.5717542502969346
late,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,late/adamw-lr1e-5/checkpoint-3907,muon,88,110297088,1158.3201615370792,307.95707150205254,0.26586524324449,0.21170687159015375,0.1194233250912684,1.6590077915293648,0.06478251763345565,0.034827258407824135,1.2012635469436646,0.02404466428280992,0.18087846216033487,1.7855897794432818,388.37598500787254,109.1833977724779,63.967768704827456,0.16105567500553028,0.20688772388798668,-0.0008251638455233315,0.2740464802572434
