family,anchor_kind,source_optimizer,learning_rate,run_id,stage,fraction,step,label,tensor,rows,columns,parameters,gradient_steps,weight_frobenius_norm,operator_pair,cosine
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.2.attn.Wo.weight,768,768,589824,8,50.98695373535156,adamw__muon,0.5774677395820618
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.2.attn.Wo.weight,768,768,589824,8,50.98695373535156,adamw__normuon,0.5772432684898376
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.2.attn.Wo.weight,768,768,589824,8,50.98695373535156,muon__normuon,0.9998778700828552
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.2.attn.Wqkv.weight,2304,768,1769472,8,156.56365966796875,adamw__muon,0.5602700710296631
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.2.attn.Wqkv.weight,2304,768,1769472,8,156.56365966796875,adamw__normuon,0.5721942186355591
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.2.attn.Wqkv.weight,2304,768,1769472,8,156.56365966796875,muon__normuon,0.9639962315559387
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.2.mlp.Wi.weight,2304,768,1769472,8,159.2893524169922,adamw__muon,0.6127916574478149
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.2.mlp.Wi.weight,2304,768,1769472,8,159.2893524169922,adamw__normuon,0.6151482462882996
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.2.mlp.Wi.weight,2304,768,1769472,8,159.2893524169922,muon__normuon,0.9921413064002991
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.2.mlp.Wo.weight,768,1152,884736,8,113.43054962158203,adamw__muon,0.5973467230796814
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.2.mlp.Wo.weight,768,1152,884736,8,113.43054962158203,adamw__normuon,0.5973380208015442
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.2.mlp.Wo.weight,768,1152,884736,8,113.43054962158203,muon__normuon,0.9999685883522034
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.20.attn.Wo.weight,768,768,589824,8,102.10928344726562,adamw__muon,0.3974233865737915
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.20.attn.Wo.weight,768,768,589824,8,102.10928344726562,adamw__normuon,0.3973049521446228
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.20.attn.Wo.weight,768,768,589824,8,102.10928344726562,muon__normuon,0.998874843120575
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.20.attn.Wqkv.weight,2304,768,1769472,8,137.55807495117188,adamw__muon,0.4621703028678894
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.20.attn.Wqkv.weight,2304,768,1769472,8,137.55807495117188,adamw__normuon,0.4810082018375397
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.20.attn.Wqkv.weight,2304,768,1769472,8,137.55807495117188,muon__normuon,0.9492877721786499
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.20.mlp.Wi.weight,2304,768,1769472,8,152.6477813720703,adamw__muon,0.45707640051841736
