family,anchor,challenger,reference,direction,relative_scale,samples,delta_delta_contrastive_loss,delta_delta_positive_score,delta_delta_hardest_negative_score,delta_delta_positive_margin,delta_delta_reciprocal_rank,delta_delta_top1_accuracy
dense,dense/muon-lr1e-3/checkpoint-3907,muon,adamw,descent,0.001,224,-0.004195772982062148,0.00023542131696428572,0.00023542131696428572,0.0,0.005952380996729646,0.008928571428571428
dense,dense/muon-lr1e-3/checkpoint-3907,muon,adamw,sign_reversal,0.001,224,-0.011828385562694166,-0.000244140625,-0.0010811941964285715,0.0008370535714285714,0.0029761905648878644,0.008928571428571428
dense,dense/muon-lr1e-3/checkpoint-3907,normuon,adamw,descent,0.0001,224,0.004257128311759776,-0.00011335100446428572,8.719308035714286e-05,-0.00020054408482142856,-0.001339285700981106,-0.004464285714285714
dense,dense/muon-lr1e-3/checkpoint-3907,normuon,adamw,descent,0.0003,224,0.005322191255670207,-0.00011335100446428572,0.00014822823660714285,-0.00026157924107142856,-0.002976190431841782,-0.004464285714285714
dense,dense/muon-lr1e-3/checkpoint-3907,normuon,adamw,descent,0.001,224,-0.0024412441979230998,0.0006016322544642857,0.0005929129464285714,8.719308035714285e-06,-0.00037202385387250355,-0.004464285714285714
dense,dense/muon-lr1e-3/checkpoint-3907,normuon,adamw,sign_reversal,0.001,224,-0.005846809340125349,-0.0016130719866071428,-0.002467564174107143,0.0008544921875,-0.002976190431841782,-0.004464285714285714
dense,dense/normuon-lr1e-3/checkpoint-782,muon,adamw,descent,0.0001,224,-0.0036099215306291755,0.00019182477678571428,3.487723214285714e-05,0.00015694754464285715,0.002083333275680031,0.0
dense,dense/normuon-lr1e-3/checkpoint-782,muon,adamw,descent,0.0003,224,0.004826808991960466,-0.0005754743303571429,-0.0003749302455357143,-0.00020054408482142856,0.003124999880258526,0.008928571428571428
dense,dense/normuon-lr1e-3/checkpoint-782,muon,adamw,descent,0.001,224,0.006162984795602304,-0.002162388392857143,-0.0019269670758928572,-0.00023542131696428572,-0.00870535715616175,-0.017857142857142856
dense,dense/normuon-lr1e-3/checkpoint-782,muon,adamw,sign_reversal,0.001,224,-0.018362399258096827,0.0014997209821428572,0.0008283342633928571,0.00067138671875,0.008184523787349463,0.017857142857142856
dense,dense/normuon-lr1e-3/checkpoint-782,normuon,adamw,descent,0.0001,224,-0.0015474212356951153,1.743861607142857e-05,-5.231584821428571e-05,6.975446428571428e-05,-0.0013711734541824885,-0.004464285714285714
dense,dense/normuon-lr1e-3/checkpoint-782,normuon,adamw,descent,0.0003,224,0.006365345393792917,-0.0006103515625,-0.00034005301339285713,-0.00027029854910714287,-1.330460820879255e-10,0.0
dense,dense/normuon-lr1e-3/checkpoint-782,normuon,adamw,descent,0.001,224,0.007498515779064162,-0.001988002232142857,-0.0016305106026785715,-0.0003574916294642857,0.0003720237208264215,0.0
dense,dense/normuon-lr1e-3/checkpoint-782,normuon,adamw,sign_reversal,0.001,224,-0.01679506248988868,0.0012904575892857143,0.0008719308035714286,0.0004185267857142857,0.00930059521592089,0.022321428571428572
dense,dense/normuon-lr1e-3/checkpoint-2345,muon,adamw,descent,0.0001,224,-0.002687451054693416,0.00017438616071428572,0.00023542131696428572,-6.103515625e-05,-0.0003720237208264215,0.0
dense,dense/normuon-lr1e-3/checkpoint-2345,muon,adamw,descent,0.0003,224,0.0027030239845251863,0.00015694754464285715,0.0003662109375,-0.00020926339285714285,0.003348214418760368,0.008928571428571428
dense,dense/normuon-lr1e-3/checkpoint-2345,muon,adamw,descent,0.001,224,0.011566893374297902,0.0007237025669642857,0.0017438616071428572,-0.0010201590401785715,-0.0033482141526682036,-0.004464285714285714
dense,dense/normuon-lr1e-3/checkpoint-2345,muon,adamw,sign_reversal,0.001,224,-0.014705823712055073,-0.00115966796875,-0.0023367745535714285,0.0011771065848214285,0.004836309302066054,0.004464285714285714
dense,dense/normuon-lr1e-3/checkpoint-2345,normuon,adamw,descent,0.0001,224,8.904136315582687e-05,-8.719308035714285e-06,0.0001220703125,-0.00013078962053571428,-0.002232142724096775,0.0
dense,dense/normuon-lr1e-3/checkpoint-2345,normuon,adamw,descent,0.0003,224,0.00333117058276652,0.00032261439732142856,0.0006103515625,-0.00028773716517857144,0.0026041667110153605,0.004464285714285714
dense,dense/normuon-lr1e-3/checkpoint-2345,normuon,adamw,descent,0.001,224,0.011481992005688621,0.0005841936383928571,0.001708984375,-0.0011247907366071428,-0.005580357009811061,-0.008928571428571428
dense,dense/normuon-lr1e-3/checkpoint-2345,normuon,adamw,sign_reversal,0.001,224,-0.020514143425706215,-0.001220703125,-0.0026419503348214285,0.0014212472098214285,0.004464285581239632,0.004464285714285714
dense,dense/normuon-lr1e-3/checkpoint-3907,muon,adamw,descent,0.0001,224,0.00023116987228734485,0.00011335100446428572,0.00013078962053571428,-1.743861607142857e-05,0.003720238006540707,0.004464285714285714
dense,dense/normuon-lr1e-3/checkpoint-3907,muon,adamw,descent,0.0003,224,-0.00028117704485859055,0.0006365094866071429,0.0005667550223214286,6.975446428571428e-05,0.0003720239869185856,0.008928571428571428
dense,dense/normuon-lr1e-3/checkpoint-3907,muon,adamw,descent,0.001,224,0.00225290572364299,0.0005405970982142857,0.0010899135044642857,-0.00054931640625,-0.0026041667110153605,-0.008928571428571428
dense,dense/normuon-lr1e-3/checkpoint-3907,muon,adamw,sign_reversal,0.001,224,-0.0010017363116016245,-0.0006452287946428571,-0.001220703125,0.0005754743303571429,-0.003199404837297542,-0.008928571428571428
dense,dense/normuon-lr1e-3/checkpoint-3907,normuon,adamw,descent,0.0001,224,-0.0026831205008680365,0.00017438616071428572,0.00028773716517857144,-0.00011335100446428572,0.003720238006540707,0.004464285714285714
dense,dense/normuon-lr1e-3/checkpoint-3907,normuon,adamw,descent,0.0003,224,0.00033598313763962196,0.00045340401785714287,0.00046212332589285713,-8.719308035714285e-06,-0.0008928570231156689,0.0
