family,anchor,layer,tensor,rotation_seed,optimizer,qk_role,head,mapped_direction_cosine,mapped_relative_frobenius_error,mapped_norm_ratio,singular_spectrum_relative_l2_error
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082703,muon,key,0,0.9994475245475769,0.033237773925065994,0.9999607801437378,0.0013482304057106376
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082703,muon,key,5,0.9995008707046509,0.0315975695848465,1.000164270401001,0.0012517300201579928
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082703,muon,key,11,0.9994185566902161,0.03409891203045845,0.999992311000824,0.0014817104674875736
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082703,normuon,query,0,0.9984240531921387,0.056146975606679916,1.0002213716506958,0.007974248379468918
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082703,normuon,query,5,0.9975798726081848,0.0695604607462883,0.9996467232704163,0.008966712281107903
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082703,normuon,query,11,0.9982969164848328,0.058367740362882614,1.0001814365386963,0.007368848193436861
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082703,normuon,key,0,0.9979259371757507,0.06438581645488739,0.9992268681526184,0.009613445959985256
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082703,normuon,key,5,0.9977145791053772,0.06758315861225128,0.9990480542182922,0.010671159252524376
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082703,normuon,key,11,0.9983828067779541,0.0568583682179451,0.9994968175888062,0.00789822917431593
dense,dense/adamw-lr1e-5/checkpoint-2345,21,0.layers.21.attn.Wqkv.weight,2026082701,adamw,query,0,0.9485629200935364,0.3212709426879883,1.0032150745391846,0.02395891211926937
dense,dense/adamw-lr1e-5/checkpoint-2345,21,0.layers.21.attn.Wqkv.weight,2026082701,adamw,query,5,0.9490946531295776,0.3190128207206726,0.9995920062065125,0.03589925169944763
dense,dense/adamw-lr1e-5/checkpoint-2345,21,0.layers.21.attn.Wqkv.weight,2026082701,adamw,query,11,0.957785427570343,0.2901483178138733,0.9970162510871887,0.02189897745847702
dense,dense/adamw-lr1e-5/checkpoint-2345,21,0.layers.21.attn.Wqkv.weight,2026082701,adamw,key,0,0.9394571185112,0.34811872243881226,1.0008277893066406,0.0492120124399662
dense,dense/adamw-lr1e-5/checkpoint-2345,21,0.layers.21.attn.Wqkv.weight,2026082701,adamw,key,5,0.9306924343109131,0.37189337611198425,0.9977220892906189,0.03675282001495361
dense,dense/adamw-lr1e-5/checkpoint-2345,21,0.layers.21.attn.Wqkv.weight,2026082701,adamw,key,11,0.95648193359375,0.29561862349510193,1.003896713256836,0.029674751684069633
dense,dense/adamw-lr1e-5/checkpoint-2345,21,0.layers.21.attn.Wqkv.weight,2026082701,muon,query,0,0.9957908391952515,0.09177885204553604,1.0005605220794678,0.002801589434966445
dense,dense/adamw-lr1e-5/checkpoint-2345,21,0.layers.21.attn.Wqkv.weight,2026082701,muon,query,5,0.991129994392395,0.13322293758392334,1.0004655122756958,0.003993160557001829
dense,dense/adamw-lr1e-5/checkpoint-2345,21,0.layers.21.attn.Wqkv.weight,2026082701,muon,query,11,0.9926842451095581,0.12096238881349564,1.0000275373458862,0.0042973472736775875
dense,dense/adamw-lr1e-5/checkpoint-2345,21,0.layers.21.attn.Wqkv.weight,2026082701,muon,key,0,0.9994949698448181,0.03178149089217186,0.9997292757034302,0.0012729830341413617
dense,dense/adamw-lr1e-5/checkpoint-2345,21,0.layers.21.attn.Wqkv.weight,2026082701,muon,key,5,0.9988113045692444,0.048757292330265045,0.9999510645866394,0.0017913792980834842
dense,dense/adamw-lr1e-5/checkpoint-2345,21,0.layers.21.attn.Wqkv.weight,2026082701,muon,key,11,0.9978423714637756,0.06571903079748154,1.0007524490356445,0.002273576334118843
dense,dense/adamw-lr1e-5/checkpoint-2345,21,0.layers.21.attn.Wqkv.weight,2026082701,normuon,query,0,0.9845110774040222,0.17596007883548737,0.9994789361953735,0.02907494828104973
dense,dense/adamw-lr1e-5/checkpoint-2345,21,0.layers.21.attn.Wqkv.weight,2026082701,normuon,query,5,0.9756826758384705,0.22091273963451385,1.0032339096069336,0.019372915849089622
dense,dense/adamw-lr1e-5/checkpoint-2345,21,0.layers.21.attn.Wqkv.weight,2026082701,normuon,query,11,0.9860732555389404,0.1668805181980133,0.9998433589935303,0.012842416763305664
dense,dense/adamw-lr1e-5/checkpoint-2345,21,0.layers.21.attn.Wqkv.weight,2026082701,normuon,key,0,0.9946410655975342,0.10343891382217407,0.9978569746017456,0.012436384335160255
dense,dense/adamw-lr1e-5/checkpoint-2345,21,0.layers.21.attn.Wqkv.weight,2026082701,normuon,key,5,0.9940041303634644,0.10945352911949158,0.9989201426506042,0.014944426715373993
dense,dense/adamw-lr1e-5/checkpoint-2345,21,0.layers.21.attn.Wqkv.weight,2026082701,normuon,key,11,0.9971099495887756,0.07607308775186539,1.0010063648223877,0.006936874706298113
dense,dense/adamw-lr1e-5/checkpoint-2345,21,0.layers.21.attn.Wqkv.weight,2026082702,adamw,query,0,0.9568295478820801,0.2951542139053345,1.0081967115402222,0.024093743413686752
dense,dense/adamw-lr1e-5/checkpoint-2345,21,0.layers.21.attn.Wqkv.weight,2026082702,adamw,query,5,0.9648173451423645,0.26559698581695557,1.0024278163909912,0.034210193902254105
dense,dense/adamw-lr1e-5/checkpoint-2345,21,0.layers.21.attn.Wqkv.weight,2026082702,adamw,query,11,0.9610673189163208,0.27830711007118225,0.9943159222602844,0.01844862848520279
dense,dense/adamw-lr1e-5/checkpoint-2345,21,0.layers.21.attn.Wqkv.weight,2026082702,adamw,key,0,0.9537099599838257,0.30393412709236145,0.9977418184280396,0.05061567202210426
dense,dense/adamw-lr1e-5/checkpoint-2345,21,0.layers.21.attn.Wqkv.weight,2026082702,adamw,key,5,0.9541106224060059,0.3023797273635864,0.9960693717002869,0.023574823513627052
dense,dense/adamw-lr1e-5/checkpoint-2345,21,0.layers.21.attn.Wqkv.weight,2026082702,adamw,key,11,0.9496080279350281,0.3175642490386963,1.0006219148635864,0.03792187198996544
dense,dense/adamw-lr1e-5/checkpoint-2345,21,0.layers.21.attn.Wqkv.weight,2026082702,muon,query,0,0.9959284067153931,0.09027138352394104,1.000650405883789,0.003279228927567601
dense,dense/adamw-lr1e-5/checkpoint-2345,21,0.layers.21.attn.Wqkv.weight,2026082702,muon,query,5,0.9912817478179932,0.13211476802825928,1.0009684562683105,0.003934073261916637
dense,dense/adamw-lr1e-5/checkpoint-2345,21,0.layers.21.attn.Wqkv.weight,2026082702,muon,query,11,0.9928971529006958,0.1192275807261467,1.0006489753723145,0.004424107261002064
dense,dense/adamw-lr1e-5/checkpoint-2345,21,0.layers.21.attn.Wqkv.weight,2026082702,muon,key,0,0.9994429349899292,0.03337462991476059,0.9998474717140198,0.0013865397777408361
dense,dense/adamw-lr1e-5/checkpoint-2345,21,0.layers.21.attn.Wqkv.weight,2026082702,muon,key,5,0.9987590909004211,0.04980938881635666,0.9995200634002686,0.0022512669675052166
